MDG,44
ASM,72
HND,79
BFA,80
MLI,89
BDI,92
CYM,162
ATF,252
MWI,252
NPL,255
UGA,255
SMR,265
DJI,273
MMR,290
SDN,297
VGB,302
COM,331
STP,344
BHS,356
GUY,360
GTM,368
KNA,369
BRB,380
KHM,396
LCA,404
FJI,406
NIC,417
GGY,419
GLP,420
DMA,421
PYF,432
KIR,432
SLV,458
NAM,486
ATA,537
MRT,586
UMI,600
SYC,614
PRY,672
NCL,702
BWA,711
TJK,744
BOL,750
ZMB,794
SLE,850
SYR,864
BEN,864
ZWE,869
LAO,910
LIE,928
ABW,928
MCO,952
PLW,954
IMN,964
RWA,965
CAF,1047
AIA,1060
TMP,1159
UZB,1168
ETH,1398
GAB,1398
MYT,1481
TZA,1486
LBY,1537
PRI,1679
TGO,1785
CUB,1812
SUR,1979
ARM,2003
BHR,2088
MUS,2424
JEY,2575
JAM,2680
VNM,2748
GHA,2832
MNE,2834
LKA,2889
MKD,3043
KEN,3084
CIV,3178
MAC,3405
PAN,3569
ALB,3747
CMR,3865
IRQ,4080
CRI,4279
BIH,4354
FRO,4933
GNB,5176
JOR,5389
MLT,5727
DOM,6217
PAK,6602
MYS,6613
MDV,6745
BGD,6917
AND,6992
VEN,7120
KWT,7127
HKG,7428
QAT,8102
GIB,8364
PER,8725
AZE,8972
OMN,9011
SGP,9344
KAZ,9707
IDN,9754
LBN,10139
BLR,10426
ECU,10621
SEN,12091
URY,12892
PHL,13620
ISL,13781
THA,14209
EGY,14435
CYP,14541
CPV,14904
TWN,15219
TUN,15701
NGA,16035
GEO,16198
NZL,18660
SVN,18916
SRB,19493
SVK,20207
LVA,21458
COL,21628
CHL,23776
MEX,24043
UKR,24468
ZAF,24669
BGR,26374
MOZ,29545
ARE,30211
SAU,30696
KOR,32258
LTU,36924
DZA,40009
HRV,40896
EST,42158
IRN,43360
IND,51994
GRC,52357
CZE,54359
JPN,69378
ARG,75085
TUR,78756
HUN,92024
NULL,97008
AUS,130547
MAR,132955
LUX,135215
ISR,135830
FIN,172220
DNK,191150
CHN,257905
ROU,262805
NOR,275366
RUS,301312
AGO,331909
POL,347574
AUT,369837
SWE,382958
CN,444432
USA,653577
NLD,737083
CHE,737735
BRA,800644
BEL,891501
ITA,1220001
IRL,1587771
DEU,2114653
ESP,3066613
FRA,3618161
GBR,4799935
PRT,10369149
